ecoregion1,ecoregion2,proportion
Central Andean dry puna,Eastern Cordillera real montane forests,0.166666667
Central Andean puna,Eastern Cordillera real montane forests,0.166666667
Central Andean wet puna,Eastern Cordillera real montane forests,0.25
Chilean matorral,Eastern Cordillera real montane forests,0
Cordillera Central paramo,Eastern Cordillera real montane forests,0.666666667
Cordillera La Costa montane forests,Eastern Cordillera real montane forests,0
Cordillera Oriental montane forests,Eastern Cordillera real montane forests,0.25
Cordillera de Merida paramo,Eastern Cordillera real montane forests,0
High Monte,Eastern Cordillera real montane forests,0
La Costa xeric shrublands,Eastern Cordillera real montane forests,0
Lake,Eastern Cordillera real montane forests,0.25
Lara Falcon dry forests,Eastern Cordillera real montane forests,0
Magdalena Valley dry forests,Eastern Cordillera real montane forests,0.333333333
Magdalena Valley montane forests,Eastern Cordillera real montane forests,0.333333333
Magellanic subpolar forests,Eastern Cordillera real montane forests,0
Maranon dry forests,Eastern Cordillera real montane forests,0.333333333
Northern Andean paramo,Eastern Cordillera real montane forests,0.5
Northwestern Andean montane forests,Eastern Cordillera real montane forests,0.666666667
Patagonian steppe,Eastern Cordillera real montane forests,0
Patia Valley dry forests,Eastern Cordillera real montane forests,0.333333333
Peruvian Yungas,Eastern Cordillera real montane forests,0.333333333
Rock and Ice,Eastern Cordillera real montane forests,0
Santa Marta montane forests,Eastern Cordillera real montane forests,0.333333333
Santa Marta paramo,Eastern Cordillera real montane forests,0.333333333
Southern Andean Yungas,Eastern Cordillera real montane forests,0
Southern Andean steppe,Eastern Cordillera real montane forests,0
Tumbes Piura dry forests,Eastern Cordillera real montane forests,0.666666667
Valdivian temperate forests,Eastern Cordillera real montane forests,0
Venezuelan Andes montane forests,Eastern Cordillera real montane forests,0.25
Araya and Paria xeric scrub,High Monte,0
Atacama desert,High Monte,0
Bolivian Yungas,High Monte,0
Bolivian montane dry forests,High Monte,0.5
Cauca Valley dry forests,High Monte,0
Cauca Valley montane forests,High Monte,0
Central Andean dry puna,High Monte,0.25
Central Andean puna,High Monte,0.25
Central Andean wet puna,High Monte,0
Chilean matorral,High Monte,0
Cordillera Central paramo,High Monte,0
Cordillera La Costa montane forests,High Monte,0
Cordillera Oriental montane forests,High Monte,0
Cordillera de Merida paramo,High Monte,0
Eastern Cordillera real montane forests,High Monte,0
La Costa xeric shrublands,High Monte,0
Lake,High Monte,0
Lara Falcon dry forests,High Monte,0
Magdalena Valley dry forests,High Monte,0
Magdalena Valley montane forests,High Monte,0
Magellanic subpolar forests,High Monte,0.5
Maranon dry forests,High Monte,0
Northern Andean paramo,High Monte,0
Northwestern Andean montane forests,High Monte,0
Patagonian steppe,High Monte,0.5
Patia Valley dry forests,High Monte,0
Peruvian Yungas,High Monte,0
Rock and Ice,High Monte,0.5
Santa Marta montane forests,High Monte,0
Santa Marta paramo,High Monte,0
Southern Andean Yungas,High Monte,0.5
Southern Andean steppe,High Monte,0.5
Tumbes Piura dry forests,High Monte,0
Valdivian temperate forests,High Monte,0.5
Venezuelan Andes montane forests,High Monte,0
Araya and Paria xeric scrub,La Costa xeric shrublands,1
Atacama desert,La Costa xeric shrublands,0
Bolivian Yungas,La Costa xeric shrublands,0
Bolivian montane dry forests,La Costa xeric shrublands,0
Cauca Valley dry forests,La Costa xeric shrublands,0
Cauca Valley montane forests,La Costa xeric shrublands,0
